,glucose exp flux,Sim Flux
r_0534,1.5,1.5
r_0962,-2.565,-2.393805183461357
r_0961,0.09,0.08405592966167297
r_2131,0.09,0.03671831587505045
r_0300,-0.09,-0.049652539146785635
r_1022,-0.045,-0.0
r_1054,-1.365,-1.2771002646498906
r_0486,2.58,2.5731192755600003
r_0450,1.365,1.24758058426877
r_0302,0.09,0.03671831587505045
r_0892,-2.58,-2.5731192755600003
r_0893,-2.58,-2.4195671899326867
r_0889,0.165,0.09194844094854285
r_1049,-0.045,-0.029967659524403084
r_1048,0.045,0.0
r_1050,-0.045,0.017086656288738206
r_0466,0.165,0.09194844094854285
r_0467,1.275,1.2698890313451137
r_0886,1.365,1.24758058426877
r_0959,2.235,2.12901030734683
r_2115,2.115,2.1200694761876733
r_2116,0.12,0.0
r_0112,0.045,0.011733420963937572
r_0958,0.135,0.11122413692962718
r_0366,2.58,2.4195671899326867
r_0832,0.045,0.0
r_0091,0.165,0.09194844094854285
r_2034,0.18,0.13259463705614385
r_1239,0.075,0.0
