,galactose exp flux,maximum,minimum
r_0458,4.5,4.5,4.499904116666777
r_0962,-7.335,-6.066892311527229,-6.066420164176014
r_0961,0.36,0.3434134717051863,0.3430468747022468
r_2131,0.54,0.15043311351457522,0.14821409947053554
r_0713,0.315,1000.0,0.20222612035316873
r_0300,-0.54,-0.20289912853394954,-0.20271114250674324
r_1022,0.315,-0.00019176672010878804,-0.0
r_1054,-3.87,-3.6820398255725517,-3.681349465515777
r_0486,7.425,7.349079254279356,7.348388894332686
r_0450,7.425,3.6838691575642275,-0.00019176666661316344
r_0892,-7.425,-7.349079254315598,-7.348388894427352
r_0889,0.63,0.10077797225435403,0.09870689237156444
r_1049,-0.225,-0.030808428196304104,-0.03011806820753149
r_1048,0.225,0.030808428196304104,-3.653751089382869
r_1050,-0.135,-0.021791413880442596,-0.022481773869215127
r_0466,0.63,0.10077797216993678,0.09870689237103919
r_0467,3.51,3.837103579325197,3.835032499431194
r_0886,3.87,3.6838691575233176,0.0
r_2116,0.99,0.00030015648709394595,0.0
r_0112,0.495,0.04816935502658289,0.04764814315172368
r_0091,0.63,0.10077797230450436,0.09870689236992031
r_0958,0.495,0.45729267382115274,0.45418605480709784
r_2034,0.36,0.541452932031932,0.0
r_4041,0.2,0.19901567187550537,0.19901567187550537
